#{"t_start": 1622874995.046234, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-25.401614,20,271.068129,-1.2995970059222715,0.0,-0.009414278200670465,-0.8851485635692635,-0.4050341641523375
-13.473258,20,272.385392,-1.0630511201529862,0.0,-0.3455490894196962,-0.106269095197906,-0.6112329355353839
-19.102461,20,273.638226,-1.1083749128215559,0.0,-0.010867456786473963,-0.6974201809179035,-0.4000872751171785
-11.435871,20,274.917053,0.4081001559559123,1.0,-0.06314983202651572,-0.528750012017572,-0.0
-19.4729,20,276.239627,-1.2871904891022041,0.0,-0.3455492057205738,-0.35296388263462064,-0.5886774007470097
-18.680293,20,277.562799,-0.8635840344811285,0.0,-0.015821213379752463,-0.25164093076523264,-0.5961218903361434
-32.358933,20,278.883308,-1.8998168895102578,0.0,-0.3457231145946546,-0.9600604721333366,-0.5940333027822667
-9.876585,20,280.166418,-0.5622229602020323,0.0,-0.010848321830755063,-0.10718953796654399,-0.4441851004047333
-31.321363,20,281.479945,-1.9260769656907721,0.0,-0.3456317759772987,-0.9547826802181456,-0.6256625094953279
-20.734106,20,282.782271,-1.4272131548396176,0.0,-0.34772410430603407,-0.4807767067481921,-0.5987123437853915
-33.167227,20,284.075793,-1.7692517731146415,0.0,-0.3288921976318218,-0.8928715140985504,-0.5474880613842694
-11.219968,20,285.358393,-0.916315535389022,0.0,-0.0627555253674172,-0.3108660696852177,-0.5426939403363872
-12.165914,20,286.658977,0.5117527863080744,1.0,-0.1340431318793096,-0.16621712260157798,-0.187986959211038
-20.199054,20,287.9753,-0.8188148183261255,0.0,-0.015983060490907787,-0.4017894788464065,-0.4010422789888111
-16.743421,20,289.288766,-0.9159136791301488,0.0,-0.18234253401320102,-0.13040952182226132,-0.6031616232946865
-15.344458,20,290.586042,-0.7993134584005659,0.0,-0.017525237909093716,-0.23991387772161143,-0.5418743427698607
-18.92279,20,291.846626,-0.8897627411389486,1.0,-0.33112451839526286,-1.1181689420405965,-0.44046928070308916
-24.918966,20,293.171896,-1.1674118460274752,0.0,-0.2186388818907177,-0.3953865283015728,-0.5533864358351848
-13.923069,20,294.483416,-0.8553391039524677,0.0,-0.20042094768051621,-0.11735274678376129,-0.5375654094881902
-13.883423,20,295.783054,-1.0487228839541642,0.0,-0.34653169488863633,-0.11426423015632645,-0.5879269589092013
-30.915961,20,297.095326,-1.6558164929227348,0.0,-0.20036482089127255,-0.9611209223559924,-0.4943307496754698
-16.164835,20,298.38403,-1.3737610184389104,0.0,-0.3455189013272876,-0.43121267197991764,-0.5970294451317051
-22.171221,20,299.704011,-0.9728845051534214,0.0,-0.2995134396026125,-0.27047932204976266,-0.4028917435010461
-1.510736,20,300.936642,0.02379670771963599,1.0,-0.39464163399882474,-0.3962067890990065,-0.18535486918253274
-21.555694,20,302.137229,-1.228370744214415,0.0,-0.25025441356642675,-0.9328359917151082,-0.04528033893288003
-21.084111,20,303.452837,-0.9808353811623733,0.0,-0.017216288314317436,-0.4099145683433525,-0.5537045245047034
-6.040476,20,304.715377,-0.1884302099349073,1.0,-0.6833743987581867,-0.28342907643002746,-0.22162673474669312
-11.731549,20,305.993547,-0.6669949857186186,0.0,-0.2142863116240807,-0.11501253189563246,-0.33769614219890537
-16.540405,20,307.301233,-0.8383031322168643,0.0,-0.20482649607346864,-0.10466622886665572,-0.5288104072767399
-10.840958,20,308.581969,-0.5857645438757845,0.0,-0.017499667918568346,-0.10216959887308265,-0.46609527708413345
-10.596849,20,309.890616,-1.19986918128033,0.0,-0.30394506873378024,-0.3715355220347675,-0.5243885905117823
-12.15621,20,311.185434,-0.8161849210892962,0.0,-0.19103134973570376,-0.14515357135359233,-0.48000000000000004
-7.31945,20,312.428295,-0.03996303309067972,1.0,-0.35094421903741835,-0.3391749685867438,-0.3498438454665176
-0.833014,20,313.692644,-0.1262765376275869,1.0,-0.33248486140581746,-0.3137916762217694,-0.48000000000000004
-13.013115,20,314.923992,-0.5948118635791683,1.0,-0.28993086950432856,-0.9630198945211127,-0.341861099553727
-6.197732,20,316.179013,-0.1805933382812871,1.0,-0.13706504475202577,-0.598758535717433,-0.44476975781182837
-4.133607,20,317.435825,0.4098036962010899,1.0,-0.2813600773069727,-0.1821644517926886,-0.1266717746992488
-17.100808,20,318.714985,-1.2995892615586317,0.0,-0.7264136651791826,-0.4817658756577384,-0.09140972072171077
-13.059668,20,319.94861,-1.02381695600902,0.0,-0.7043509320290094,-0.1600982215488828,-0.15936780243112778
-9.425145,20,321.191648,-0.0071401078956238595,1.0,-0.24920655158201377,-0.637930944550833,-0.1200026117627771
-1.587258,20,322.454074,-0.38194355249274736,1.0,-0.7890055600591056,-0.38628070241343154,-0.20665729002021024
-6.40308,20,323.694214,-0.6041227708169917,0.0,-0.27398670948311804,-0.20746900206604804,-0.12266705926782559
-5.249893,20,324.944277,-0.0007028635979810169,1.0,-0.7075716605298342,-0.230731468629431,-0.06239973443871579
-18.933444,20,326.166513,-1.3443141389346371,0.0,-0.44348384289430326,-0.8541815032300142,-0.04664879281031958
-18.744373,20,327.427107,-1.0084786784928772,1.0,-0.42414103570004624,-0.9990003680527982,-0.5853372747400327
-3.609706,20,328.692887,0.17164187181443474,1.0,-0.2468845001553193,-0.24962423639370768,-0.3318493916365383
-14.369198,20,329.930633,-0.2481025968488374,1.0,-0.3291637694370302,-0.7850217338394365,-0.1339170935723707
-15.92349,20,331.224006,-0.7789788319414003,1.0,-0.4126558801383343,-0.646322951803066,-0.72
-7.83422,20,332.480599,-0.02022282069231718,1.0,-0.31568047218148504,-0.27896069983828864,-0.42558164867254356
-9.423334,20,333.738039,-0.6174148918926035,1.0,-0.4082201775654839,-0.532385211988147,-0.6768095023389725
-9.264619,20,334.999414,-0.3692089501099012,1.0,-0.4004041025295607,-0.7288048475803405,-0.24000000000000002
-16.2828,20,336.234501,-1.1031727020231434,0.0,-0.44460974148031385,-0.5894795967208414,-0.06908336382198821
-9.94,20,337.466599,-0.6335317593246093,0.0,-0.36954663588257436,-0.16640249421274583,-0.09758262922928909
-21.962169,20,338.715899,-1.3839385446168884,0.0,-0.44025831306394025,-0.8921462288146386,-0.051534002738309506
-15.5959,20,339.982824,-1.2915821023984033,1.0,-0.4058442506726489,-1.1657378517257544,-0.72
-7.702327,20,341.256974,-0.46062556202409133,1.0,-0.4337817696474938,-0.666303990307984,-0.36053980206861347
-13.08989,20,342.539823,0.433530312555643,1.0,-0.2932273440549078,-0.26023897261935725,-0.013003370770091963
-5.18439,20,343.782449,-0.04447354145504693,1.0,-0.2921435777342282,-0.6909709378613449,-0.06135902585947376
-7.107866,20,345.047078,-0.21863878550838475,1.0,-0.4057978252338956,-0.5935633902262825,-0.21927757004820667
